rev_id,rev_user_text,rev_deleted,rev_page
2456,Unknown,0,37153
2458,Derek Ross,0,37153
2463,Robert Merkel,0,21939
2464,Robert Merkel,0,37126
2465,Robert Merkel,0,37125
2466,Derek Ross,0,37153
2469,Wesley,0,37081
2476,Chato,0,36866
2485,Drj,0,36954
2487,Robert Merkel,0,37153
2491,Vicki Rosenzweig,0,37167
2492,Vicki Rosenzweig,0,37167
2493,Yargo,0,37163
2495,Vicki Rosenzweig,0,25478078
2498,Grouse,0,37138
2510,Derek Ross,0,37153
2511,Derek Ross,0,37153
2514,Chuck Smith,0,25414
2516,Tuxisuau,0,18938758
2518,Derek Ross,0,37153
2522,Chato,0,36866
2523,Damian Yerrick,0,36467
2533,AxelBoldt,0,32942
2540,AxelBoldt,0,36512
2541,Bryan Derksen,0,37184
2542,Derek Ross,0,37153
2544,Bryan Derksen,0,37184
2545,Bryan Derksen,0,37153
2550,RAE,0,37021
2551,Robert Merkel,0,37161
2552,Robert Merkel,0,37161
2554,Bryan Derksen,0,37183
2556,Joao,0,37182
2559,Trelvis,0,21785
2561,RjLesch,0,6654
2571,Magnus Manske,0,42898
2572,WojPob,0,37042
2576,Calypso,0,18190
2580,ClaudeMuncey,0,19603
2583,Derek Ross,0,19603
2586,0,0,33589
2587,Trelvis,0,19600416
2591,Trelvis,0,31743
2594,Firepink,0,26534334
2596,Vicki Rosenzweig,0,37167
2597,Zundark,0,36504
2599,Firepink,0,26534334
2600,Firepink,0,37199
2601,Amillar,0,37190
2605,Vicki Rosenzweig,0,37170
2606,Firepink,0,37194
2609,Trelvis,0,37030
2612,Dreamyshade,0,23053
2614,Vicki Rosenzweig,0,37194
2619,Iwnbap,0,37202
2622,Slrubenstein,0,18951655
2623,Damian Yerrick,0,18948383
2625,Taw,0,37198
2636,GayCommunist,0,37131
2639,David Parker,0,36601
2640,0,0,33589
2642,Bryan Derksen,0,23053
2645,Derek Ross,0,19603
2647,Derek Ross,0,25676
2652,David Parker,0,36601
2654,RAE,0,37021
2670,0,0,33589
2679,David Parker,0,13849
2684,Bryan Derksen,0,7890
2686,Bryan Derksen,0,7890
2696,MichaelTinkler,0,2441
2698,Robert Dolan,0,37220
2702,Mav,0,13255
2705,JHK,0,7665
2709,Mav,0,13255
2717,Chuck Smith,0,23053
2719,Mav,0,26826
2721,Sjc,0,37223
2725,Mav,0,23055
2726,Mav,0,23055
2727,Mav,0,23055
2730,David Parker,0,37146
2731,Mav,0,27118
2732,Mav,0,27118
2733,Mav,0,25599
2735,JHK,0,7665
2736,Szopen,0,689728
2738,Mav,0,17561
2739,Robert Merkel,0,37224
2740,Espen,0,36597
2741,Szopen,0,37224
2742,Espen,0,37075
2743,Trelvis,0,2003
2744,Mav,0,17561
2745,Trelvis,0,963
2748,Espen,0,37229
2749,Espen,0,37229
2755,Unknown,0,37230
2756,Espen,0,36597
2757,Unknown,0,37230
2758,Unknown,0,37230
2761,Unknown,0,37230
2763,Unknown,0,37230
2769,Peter Winnberg,0,37151
2770,Unknown,0,37230
2771,Unknown,0,37230
2772,David Parker,0,37206
2773,Bryan Derksen,0,7890
2774,Mav,0,37230
2775,Mav,0,37230
2776,Mav,0,37230
2778,Malcolm Farmer,0,18727
2780,Carey Evans,0,18727
2785,Damian Yerrick,0,37120
2786,AxelBoldt,0,37232
2788,Carey Evans,0,18727
2789,AxelBoldt,0,37232
2790,AxelBoldt,0,37232
2792,Uriyan,0,41207477
2793,Chato,0,37235
2794,Chato,0,36866
2796,BenBaker,0,39764478
2798,MichaelTinkler,0,36525
2800,-- April,0,37010
2802,Jeronimo,0,37120
2803,Slrubenstein,0,37120
2804,Calypso,0,37042
2805,Mav,0,37230
2807,Calypso,0,58800
2808,Calypso,0,40398683
2810,Calypso,0,58800
2811,Calypso,0,40398683
2812,Calypso,0,40398683
2813,Jeronimo,0,37146
